speaker,n_segments,minutes,mean_sec,p50_sec,p95_sec
bambam,207,27.490499999999997,7.968260869565218,8.13,12.0
lisa,168,23.644000000000002,8.444285714285716,9.51,12.0
iu,112,20.358,10.906071428571428,12.0,12.0
ive_wonyoung,97,10.571333333333332,6.5389690721649485,5.49,12.0
ive_liz,53,8.221666666666668,9.30754716981132,12.0,12.0
ive_leeseo,51,7.794666666666666,9.170196078431372,12.0,12.0
ive_yujin,40,7.148999999999999,10.7235,12.0,12.0
ive_rei,45,6.615666666666667,8.82088888888889,10.84,12.0
ive_gaeul,33,5.504166666666666,10.007575757575758,12.0,12.0
